#,Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Links in group
32,BuddyWorkers,https://www.buddyworkers.com/articles/assurance-chomage-changements-1er-avril-2025,fr,,200,10,4.6,110,0,6,6,0,0,https://lamicrobyflo.fr/changements-assurance-chomage-1er-avril-2025,​,Lamicrobyflo.fr,"(n'hésitez pas à consulter cette véritable mine d'or de ressources,",,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-04-04 16:49:38,2025-11-20 15:41:16,,,3
33,Nos partenaires - La commu Montpellier,https://www.la-commu-montpellier.fr/partenaires/,fr,"ecommerce, wordpress",200,2.4,4.6,0,0,8,14,0,0,https://lamicrobyflo.fr/,,Je veux travailler avec lui !,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkfound,2025-02-15 06:53:59,2025-11-28 16:41:41,,,1
34,Veille Numérique - Le petit bureau d'Isa,https://lepetitbureaudisa.com/veille-numerique/,fr,wordpress,200,0.6,4.6,0,0,3,5,0,0,https://lamicrobyflo.fr/la-cotisation-fonciere-des-entreprises-cfe/?srsltid=AfmBOorifHtAAX5P6e1_3M4NfMvoSpltQDm61844e3uwEks8q-K47N3_,C’est ici,flèche d'accès,,,,image,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-12-14 03:01:47,2025-11-19 13:58:13,,,3
35,Économisez sur votre RC Pro 💼💰 : Astuces pour une couverture pas chère !,https://www.assurancepourautoentrepreneur.fr/assurance-rc-pro-pas-cher-comment-economiser-sur-votre-couverture/,,wordpress,200,3.1,4.6,15,0,16,18,0,0,https://www.lamicrobyflo.fr/lassurance-responsabilite-civile-professionnelle-rc-pro/?srsltid=AfmBOoqxRJdpthaL35LBEpPtCVik9et0J3UnFQlj0qWE-z_g4AlMlr0_,"Les comparateurs d’assurances, comme Orus ou",La Micro by Flo,", sont des outils précieux pour trouver les meilleures offres.",,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2025-03-13 23:59:36,2025-11-20 17:49:56,,,5
36,La Micro by Flo : conseils pour micro-entrepreneurs,https://freelancekit.fr/ressources/la-micro-by-flo,fr,,200,25,4.6,655,0,9,10,0,0,https://lamicrobyflo.fr/,,Visiter le site de La Micro by Flo,,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkfound,2025-04-02 10:32:50,2025-11-27 21:31:17,,,3
37,Exercer en auto-entreprise - Désengrammation cellulaire,https://desengrammation-cellulaire.com/exercer-en-auto-entreprise-therapie-energetique-holistique/,fr,wordpress,200,18,4.6,0,0,19,40,0,0,https://lamicrobyflo.fr/,,Le site internet de La Micro by Flo,,,,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2024-01-10 14:37:32,2025-11-16 16:29:41,,,1
38,"Tarif graphiste : Identité de marque, visuelle, logo - Studio Floriane",https://www.studiofloriane.fr/42-tarifs-graphiste-freelance-logo-flyer-identite-visuelle/,fr,wordpress,200,4.7,4.6,0,0,4,4,0,0,https://lamicrobyflo.fr/,"mon expertise. Pour ça, je vous invite à voir avec",Florian de La Micro by Flo,. Il aura toutes les réponses -ou presque- à vos,,,text,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,linkfound,2025-04-12 23:34:23,2025-12-01 13:22:00,,Floriane Brault,1
39,Builders n°1 - L'événement entrepreneurial de Reims,https://capsul-france.com/event-builders,fr,,200,9,4.6,134,1,10,14,0,0,https://lamicrobyflo.fr/,,,,,,image,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-04-06 13:35:18,2025-11-29 14:15:14,,,1
40,Micro-Entreprise et Retraite en 2022 : comment ça marche ?,https://www.getcaravel.fr/lp/guide-micro-entreprise-et-retraite,fr,,200,38,4.6,3613,3,6,7,0,0,https://lamicrobyflo.fr/,,En savoir plus,,https://www.lamicrobyflo.fr/,301,text,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,pagefound,2024-07-02 12:41:44,2025-11-29 12:17:10,,,2
41,Ghost CMS News: Ghost Explore & Premium Newsletter Previews | Bright Themes,https://brightthemes.com/blog/ghost-news-ghost-explore,en,,200,73,4.6,386,0,18,32,0,0,https://www.lamicrobyflo.fr/,", Tangle , Whiskey 7 Backroads ,",La Micro by Flo,", Evangelical Times , Tessa Kriesel ,",,,text,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,linkrestored,2023-06-24 23:14:03,2025-10-23 23:23:41,,Bright Themes,2
